Name,BSE Code,NSE Code,Industry,Current Price,Price to Earning,Market Capitalization,Return on capital employed,EPS last year,Return on equity,Book value,Price to book value,Graham Number,Historical PE 7Years,Current ratio,PEG Ratio,Debt to equity,Altman Z Score,Piotroski score,NPM last year,Sales growth 3Years,EPS,Industry PE,Quick ratio,Debtor days,Number of equity shares,Intrinsic Value,Enterprise Value,Pledged percentage,Promoter holding,Earnings yield,Free cash flow 3years,G Factor,Return on assets
Kirl. Brothers,500241,KIRLOSBROS,Pumps,1885.80,35.59,14974.94,28.18,52.29,22.07,263.56,7.16,556.83,24.47,1.85,0.84,0.09,9.50,8.00,9.44,13.68,52.29,50.52,1.22,40.02,7.94,809.52,14807.74,0.00,65.95,4.00,752.98,4.00,12.14
Kothari Petroche,,KOTHARIPET,Petrochemicals,164.73,15.16,969.38,41.32,10.84,28.79,46.92,3.51,106.91,12.32,3.94,0.39,0.01,8.90,8.00,10.47,38.54,10.83,19.87,3.35,35.51,5.88,271.05,949.51,0.00,70.98,9.16,61.40,5.00,21.43
Kovai Medical,523323,KOVAI,Healthcare,5772.75,30.59,6315.39,22.61,164.25,22.39,889.71,6.49,1943.29,17.14,1.08,1.25,0.43,8.48,8.00,14.76,20.89,188.64,48.04,1.02,5.03,1.09,2652.45,6481.23,0.00,56.55,4.65,504.72,4.00,12.51
KPIT Technologi.,542651,KPITTECH,Computers - Software - Medium / Small,1364.80,44.56,37415.15,40.88,30.63,33.20,106.23,12.85,270.56,52.49,1.57,1.10,0.12,14.89,9.00,14.37,33.92,30.63,30.73,1.52,47.15,27.41,600.29,36491.94,0.00,39.47,3.22,2443.91,6.00,18.39
Krishana Phosch.,,KRISHANA,Fertilizers,352.15,24.64,2132.36,21.74,14.29,25.29,63.38,5.56,142.77,29.39,1.41,0.55,0.98,6.13,8.00,6.37,62.21,14.29,19.07,1.08,101.70,6.06,375.62,2480.73,0.00,71.86,6.56,-231.44,5.00,9.20
Kriti Industries,526423,KRITI,Plastics Products,121.11,206.99,618.91,19.20,4.42,15.56,39.97,3.03,23.28,17.54,1.28,7.00,0.70,4.43,8.00,2.53,13.74,0.60,26.80,0.46,28.11,5.11,27.48,733.14,0.00,67.74,4.37,2.85,2.00,5.07
Kriti Nutrients,533210,KRITINUT,Solvent Extraction,120.07,14.73,601.59,34.28,9.04,29.31,39.67,3.03,85.29,11.96,5.52,0.68,0.04,9.96,8.00,6.61,-0.27,8.15,26.20,3.24,11.03,5.01,101.34,590.18,0.00,66.68,9.56,35.09,5.00,22.51
M B Agro Prod.,,MBAPL,Fertilizers,287.50,43.83,2519.27,18.01,6.56,15.23,46.09,6.24,82.47,21.45,1.45,1.41,0.79,6.91,9.00,5.43,29.27,6.56,19.07,0.98,88.32,8.76,237.26,2825.76,0.00,74.56,4.34,-107.63,5.00,6.57
M E T S,538401,,Healthcare,155.00,15.28,85.41,23.28,8.97,17.61,59.51,2.60,116.55,18.05,2.12,0.22,0.07,5.12,8.00,14.84,-11.21,10.14,48.04,1.87,172.36,0.55,300.91,56.22,0.00,55.62,14.96,-12.46,3.00,9.92
Mah. Seamless,500265,MAHSEAMLES,Steel - Large,696.80,12.39,9336.54,22.92,71.00,18.12,443.78,1.57,749.48,9.62,8.33,0.47,0.00,5.22,8.00,17.62,32.78,56.26,21.81,5.54,35.01,13.40,613.58,9277.47,0.00,68.86,10.71,1625.57,5.00,15.30
Mahalaxmi Rubtec,514450,MHLXMIRU,Textiles - Processing,230.48,15.25,244.78,25.29,10.41,23.33,56.85,4.05,139.17,11.39,2.48,0.76,0.19,7.85,8.00,14.34,-17.44,15.14,25.07,1.81,45.00,1.06,105.50,227.96,0.00,64.80,10.16,18.43,6.00,14.29
